ensembl,gene,new_clumn
ENSMUSG00000049281,Scn3b,LS_In.Q
ENSMUSG00000049583,Grm5,LS_In.Q
ENSMUSG00000051855,Mest,LS_In.Q
ENSMUSG00000064293,Cntn4,LS_In.Q
ENSMUSG00000097451,Rian,LS_In.Q
ENSMUSG00000008658,Rbfox1,LS_In.R
ENSMUSG00000021301,Hecw1,LS_In.R
ENSMUSG00000021373,Cap2,LS_In.R
ENSMUSG00000021448,Shc3,LS_In.R
ENSMUSG00000022883,Robo1,LS_In.R
ENSMUSG00000024268,Celf4,LS_In.R
ENSMUSG00000025104,Hdgfl3,LS_In.R
ENSMUSG00000026585,Kifap3,LS_In.R
ENSMUSG00000027546,Atp9a,LS_In.R
ENSMUSG00000028176,Lrrc7,LS_In.R
ENSMUSG00000028524,Sgip1,LS_In.R
ENSMUSG00000029053,Prkcz,LS_In.R
ENSMUSG00000029211,Gabra4,LS_In.R
ENSMUSG00000030839,Sergef,LS_In.R
ENSMUSG00000033676,Gabrb3,LS_In.R
ENSMUSG00000034796,Cpne7,LS_In.R
ENSMUSG00000034958,Atcay,LS_In.R
ENSMUSG00000035653,Lrfn5,LS_In.R
ENSMUSG00000036667,Tcaf1,LS_In.R
ENSMUSG00000037386,Rims2,LS_In.R
ENSMUSG00000037492,Zmat4,LS_In.R
ENSMUSG00000040037,Negr1,LS_In.R
ENSMUSG00000040536,Necab1,LS_In.R
ENSMUSG00000040785,Ttc3,LS_In.R
ENSMUSG00000041852,Tcf20,LS_In.R
ENSMUSG00000049281,Scn3b,LS_In.R
ENSMUSG00000049583,Grm5,LS_In.R
ENSMUSG00000051855,Mest,LS_In.R
ENSMUSG00000056755,Grm7,LS_In.R
ENSMUSG00000061911,Myt1l,LS_In.R
ENSMUSG00000062296,Trank1,LS_In.R
ENSMUSG00000097451,Rian,LS_In.R
ENSMUSG00000021301,Hecw1,MS_In.J
ENSMUSG00000021670,Hmgcr,MS_In.J
ENSMUSG00000021700,Rab3c,MS_In.J
ENSMUSG00000022391,Rangap1,MS_In.J
ENSMUSG00000022883,Robo1,MS_In.J
ENSMUSG00000023236,Scg5,MS_In.J
ENSMUSG00000024268,Celf4,MS_In.J
ENSMUSG00000024897,Apba1,MS_In.J
ENSMUSG00000027546,Atp9a,MS_In.J
ENSMUSG00000028524,Sgip1,MS_In.J
ENSMUSG00000029516,Cit,MS_In.J
ENSMUSG00000030839,Sergef,MS_In.J
ENSMUSG00000031391,L1cam,MS_In.J
ENSMUSG00000033676,Gabrb3,MS_In.J
ENSMUSG00000034958,Atcay,MS_In.J
ENSMUSG00000035653,Lrfn5,MS_In.J
ENSMUSG00000037386,Rims2,MS_In.J
ENSMUSG00000037492,Zmat4,MS_In.J
ENSMUSG00000039419,Cntnap2,MS_In.J
ENSMUSG00000041852,Tcf20,MS_In.J
ENSMUSG00000050587,Lrrc4c,MS_In.J
ENSMUSG00000051855,Mest,MS_In.J
ENSMUSG00000052698,Tln2,MS_In.J
ENSMUSG00000056755,Grm7,MS_In.J
ENSMUSG00000061911,Myt1l,MS_In.J
ENSMUSG00000064293,Cntn4,MS_In.J
ENSMUSG00000097451,Rian,MS_In.J
ENSMUSG00000008658,Rbfox1,MS_In.K
ENSMUSG00000009394,Syn2,MS_In.K
ENSMUSG00000018474,Chd3,MS_In.K
ENSMUSG00000021301,Hecw1,MS_In.K
ENSMUSG00000021700,Rab3c,MS_In.K
ENSMUSG00000022883,Robo1,MS_In.K
ENSMUSG00000023236,Scg5,MS_In.K
ENSMUSG00000024268,Celf4,MS_In.K
ENSMUSG00000024897,Apba1,MS_In.K
ENSMUSG00000025104,Hdgfl3,MS_In.K
ENSMUSG00000026585,Kifap3,MS_In.K
ENSMUSG00000027546,Atp9a,MS_In.K
ENSMUSG00000028176,Lrrc7,MS_In.K
ENSMUSG00000028524,Sgip1,MS_In.K
ENSMUSG00000029516,Cit,MS_In.K
ENSMUSG00000030839,Sergef,MS_In.K
ENSMUSG00000033676,Gabrb3,MS_In.K
ENSMUSG00000034958,Atcay,MS_In.K
ENSMUSG00000035566,Pcdh17,MS_In.K
ENSMUSG00000035653,Lrfn5,MS_In.K
ENSMUSG00000036667,Tcaf1,MS_In.K
ENSMUSG00000037386,Rims2,MS_In.K
ENSMUSG00000037492,Zmat4,MS_In.K
ENSMUSG00000039419,Cntnap2,MS_In.K
ENSMUSG00000040037,Negr1,MS_In.K
ENSMUSG00000040785,Ttc3,MS_In.K
ENSMUSG00000041852,Tcf20,MS_In.K
ENSMUSG00000049252,Lrp1b,MS_In.K
ENSMUSG00000049583,Grm5,MS_In.K
ENSMUSG00000050587,Lrrc4c,MS_In.K
ENSMUSG00000051855,Mest,MS_In.K
ENSMUSG00000052698,Tln2,MS_In.K
ENSMUSG00000056755,Grm7,MS_In.K
ENSMUSG00000061911,Myt1l,MS_In.K
ENSMUSG00000062296,Trank1,MS_In.K
ENSMUSG00000064293,Cntn4,MS_In.K
ENSMUSG00000097451,Rian,MS_In.K
ENSMUSG00000008658,Rbfox1,Sept_In.G
ENSMUSG00000009394,Syn2,Sept_In.G
ENSMUSG00000018474,Chd3,Sept_In.G
ENSMUSG00000019943,Atp2b1,Sept_In.G
ENSMUSG00000020297,Nsg2,Sept_In.G
ENSMUSG00000022212,Cpne6,Sept_In.G
ENSMUSG00000023236,Scg5,Sept_In.G
ENSMUSG00000024268,Celf4,Sept_In.G
ENSMUSG00000025104,Hdgfl3,Sept_In.G
ENSMUSG00000028176,Lrrc7,Sept_In.G
ENSMUSG00000028524,Sgip1,Sept_In.G
ENSMUSG00000030839,Sergef,Sept_In.G
ENSMUSG00000033676,Gabrb3,Sept_In.G
ENSMUSG00000034958,Atcay,Sept_In.G
ENSMUSG00000035566,Pcdh17,Sept_In.G
ENSMUSG00000037492,Zmat4,Sept_In.G
ENSMUSG00000039419,Cntnap2,Sept_In.G
ENSMUSG00000040037,Negr1,Sept_In.G
ENSMUSG00000040536,Necab1,Sept_In.G
ENSMUSG00000040785,Ttc3,Sept_In.G
ENSMUSG00000046178,Nxph1,Sept_In.G
ENSMUSG00000052698,Tln2,Sept_In.G
ENSMUSG00000061911,Myt1l,Sept_In.G
ENSMUSG00000062296,Trank1,Sept_In.G
ENSMUSG00000005034,Prkacb,Sept_In.I
ENSMUSG00000008658,Rbfox1,Sept_In.I
ENSMUSG00000009394,Syn2,Sept_In.I
ENSMUSG00000018474,Chd3,Sept_In.I
ENSMUSG00000020297,Nsg2,Sept_In.I
ENSMUSG00000021301,Hecw1,Sept_In.I
ENSMUSG00000021700,Rab3c,Sept_In.I
ENSMUSG00000022883,Robo1,Sept_In.I
ENSMUSG00000023236,Scg5,Sept_In.I
ENSMUSG00000024268,Celf4,Sept_In.I
ENSMUSG00000024897,Apba1,Sept_In.I
ENSMUSG00000025104,Hdgfl3,Sept_In.I
ENSMUSG00000026585,Kifap3,Sept_In.I
ENSMUSG00000027546,Atp9a,Sept_In.I
ENSMUSG00000028176,Lrrc7,Sept_In.I
ENSMUSG00000028524,Sgip1,Sept_In.I
ENSMUSG00000029053,Prkcz,Sept_In.I
ENSMUSG00000029223,Uchl1,Sept_In.I
ENSMUSG00000029516,Cit,Sept_In.I
ENSMUSG00000030839,Sergef,Sept_In.I
ENSMUSG00000033676,Gabrb3,Sept_In.I
ENSMUSG00000035566,Pcdh17,Sept_In.I
ENSMUSG00000035653,Lrfn5,Sept_In.I
ENSMUSG00000036667,Tcaf1,Sept_In.I
ENSMUSG00000037386,Rims2,Sept_In.I
ENSMUSG00000037492,Zmat4,Sept_In.I
ENSMUSG00000039419,Cntnap2,Sept_In.I
ENSMUSG00000040037,Negr1,Sept_In.I
ENSMUSG00000040785,Ttc3,Sept_In.I
ENSMUSG00000041852,Tcf20,Sept_In.I
ENSMUSG00000042750,Bex2,Sept_In.I
ENSMUSG00000049252,Lrp1b,Sept_In.I
ENSMUSG00000049583,Grm5,Sept_In.I
ENSMUSG00000050587,Lrrc4c,Sept_In.I
ENSMUSG00000052698,Tln2,Sept_In.I
ENSMUSG00000056755,Grm7,Sept_In.I
ENSMUSG00000061911,Myt1l,Sept_In.I
